airtable_id,lot_id,item_name_mat,qty,unit_size,status,parents_json,operator,created_at,use_by,action,item_category_mat,process_type_mat,strain_species_strain_mat,vendor_name_mat,lc_volume_ml,output_count,fruiting_goal,flush_no,harvest_weight_g,notes,syringe_count,source_type,vendor_name,vendor_batch,received_date,total_volume_ml,ui_error,ui_error_at,remaining_volume_ml,fresh_tray_count,frozen_tray_count,casing_applied_at,casing_notes,casing_qty_used_g,label_template,override_inoc_time,inoculated_at,override_spawn_time,spawned_at,sterilized_at,plate_count,plate_group_id,retired_at,beganfruiting_at,firstharvested_at,lastharvested_at
rec34tNtceOfWaihk,LOT-260512-aihk,Cordyceps B,1,500,Fruiting,,,2026-05-12T15:21:55.000Z,2026-08-12,,cordyceps_substrate,Sterilize,Cordyceps,Fungaia,,,,,,,,,Fungaia,,,504,,,504,,,,,,Cordyceps_Substrate_Inoculated,,2026-05-12T15:22:51.525Z,,,2026-05-12T15:21:55.005Z,,,,,,
rec3QEHNQTBrHyUij,LOT-260424-yUij,Wild Bird Seed,1,2,Consumed,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-07-24,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24T07:30:00.000Z,,,,,,
rec47jWqe7R9FrdfO,LOT-260424-rdfO,Wild Bird Seed,1,2,Fridge,,operator1.email.address@mybusiness.com,2026-04-24T20:23:04.000Z,2026-08-12,,grain,Sterilize,Black Pearl King Oyster,MYYCO,,,,,,,,,MYYCO,,,3,,,3,,,,,,Grain_Inoculated,,2026-05-12T19:38:04.259Z,,,2026-04-24T07:30:00.000Z,,,,,,
rec4Kk7Q2HUYPy3U5,LOT-260505-y3U5,Masters Mix 75/25,1,2.5,Sterilized,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
rec4QF0LSv1qIKWqg,LOT-260519-KWqg,Masters Mix 75/25,1,7.5,Sterilized,,operator1.email.address@mybusiness.com,2026-05-19T18:36:16.000Z,2026-08-19,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-19T18:36:15.927Z,,,,,,
rec4oLI79L9qNB68Z,LOT-260616-B68Z,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec4rc5rjKCi7NDUv,LOT-260616-NDUv,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec5BdDEQYlvMjLLa,LOT-260505-jLLa,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
rec5CVObIhkWk8zAM,LOT-260424-8zAM,Wild Bird Seed,1,2,Consumed,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-07-24,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24T07:30:00.000Z,,,,,,
rec5JiIAhwDu2Ix1Y,LOT-260422-Ix1Y,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
rec689aaANUwqwWxr,LOT-260512-wWxr,Cordyceps B,1,500,Fruiting,,,2026-05-12T15:21:55.000Z,2026-08-12,,cordyceps_substrate,Sterilize,Cordyceps,Fungaia,,,,,,,,,Fungaia,,,504,,,504,,,,,,Cordyceps_Substrate_Inoculated,,2026-05-12T15:22:51.525Z,,,2026-05-12T15:21:55.005Z,,,,,,
rec6klKRz7Dgosefa,LOT-260424-sefa,Wild Bird Seed,1,2,Fridge,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-08-12,,grain,Sterilize,Black Pearl King Oyster,MYYCO,,,,,,,,,MYYCO,,,3,,,3,,,,,,Grain_Inoculated,,2026-05-12T19:38:04.259Z,,,2026-04-24T07:30:00.000Z,,,,,,
rec6mm1yfRZV0Jqvx,LOT-260616-Jqvx,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec70jzPud70QaYU0,LOT-260422-aYU0,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
rec7WBWmi2WlMyQRo,LOT-260505-yQRo,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
rec7XlTO3zMS3qM7i,LOT-260513-qM7i,Cordyceps A,1,500,Fruiting,,,2026-05-13T16:47:37.000Z,2026-08-13,,cordyceps_substrate,Sterilize,Cordyceps,Fungaia,,,,,,,,,Fungaia,,,510,,,510,,,,,,Cordyceps_Substrate_Inoculated,,2026-05-13T17:03:31.161Z,,,2026-05-13T16:47:37.020Z,,,,,,
rec80Q0dlUG89Rajn,LOT-260424-Rajn,Wild Bird Seed,1,2,Consumed,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-07-24,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24T07:30:00.000Z,,,,,,
rec80tLwY29WhPBqm,LOT-260424-PBqm,Wild Bird Seed,1,2,Consumed,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-07-24,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24T07:30:00.000Z,,,,,,
rec9EerbKzs9DhNXW,LOT-260616-hNXW,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec9L06DeDQ6IuaOT,LOT-260616-uaOT,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec9yiBRxlKBdMiGH,LOT-260616-MiGH,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recA5hUFz1FetrJnS,LOT-260525-rJnS,Coco Verm Gypsum,1,5,Consumed,,operator1.email.address@mybusiness.com,2026-05-25T18:58:07.000Z,2026-08-25,,substrate,Pasteurize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-25T18:58:06.442Z,,,,,,
recAAC2kv0zNKzRKP,LOT-260505-zRKP,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
recAu1w9QrpnQ3tzc,LOT-260513-3tzc,Cordyceps A,1,500,Retired,,,2026-05-13T16:47:37.000Z,2026-08-13,,cordyceps_substrate,Sterilize,Cordyceps,Fungaia,,,,,,,,,Fungaia,,,510,,,510,,,,,,Cordyceps_Substrate_Inoculated,,2026-05-13T17:03:31.161Z,,,2026-05-13T16:47:37.020Z,,,2026-06-15T11:36:09.931Z,,,
recB1gDpfWRofdCyo,LOT-260616-dCyo,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recBA0b4p7yCmn03H,LOT-260519-n03H,Masters Mix 75/25,1,7.5,Sterilized,,operator1.email.address@mybusiness.com,2026-05-19T18:36:16.000Z,2026-08-19,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-19T18:36:15.927Z,,,,,,
recBEUiMv5eUCTaB2,LOT-260616-TaB2,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recBEe3LS4QiH5C7j,LOT-260616-5C7j,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recBShGQGSE4qpNID,LOT-260516-pNID,Large Masters Mix 75/25,1,8.75,Fruiting,"[""recgWMysdYiUFE1Zx"",""recsWGK6tQySmWo75"",""reclFAvDlpJO8azHu""]",,2026-05-16T23:41:25.000Z,2026-08-16,,fruiting_block,,Bronze Reishi,Fungaia,,,,,,,,,,,,,,,,,,,,,Bulk_Created,,,,2026-05-16T23:41:24.641Z,,,,,,,
recCFIoJHnO8pa5cp,LOT-260505-a5cp,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
recDO1ruyZ5shDVss,LOT-260616-DVss,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recDmtKc314E0h8zS,LOT-260514-h8zS,Small Masters Mix 75/25,1,3,Fridge,"[""recLoXkq9vU3mIoq5"",""recNDYavtetW88UqV"",""recAAC2kv0zNKzRKP"",""reccpxS1qoNaA7LZS"",""rectV8TtEqO3K2xYB""]",,2026-05-14T21:13:10.000Z,2026-08-14,,fruiting_block,,Blue Oyster,Fungaia,,,,,,,,,,,,,,,,,,,,,Bulk_Created,,,,2026-05-14T21:13:09.760Z,,,,,,,
recDqCiReiIn3ax7G,LOT-260422-ax7G,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
recFA07XISHru06Wa,LOT-260505-06Wa,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
recFcOoOyzaTIPoAX,LOT-260512-PoAX,Large Masters Mix 75/25,1,8.5,Fruiting,"[""rech0qZ2yxBuRp6PG"",""recoq3GtzlaJgRlTv"",""recqW57em6RYPCwpC""]",,2026-05-12T22:44:07.000Z,2026-08-12,,fruiting_block,,Black Pearl King Oyster,MYYCO,,,,,,,,,,,,,,,,,,,,,Bulk_Created,,,,2026-05-12T22:44:07.044Z,,,,,,,
recGxrJfMbJ98LMeC,LOT-260422-LMeC,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
recJ5nNtOEQ5bUFH2,LOT-260616-UFH2,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recJVKklz8pXfa8cV,LOT-260514-a8cV,Small Masters Mix 75/25,1,3.125,Consumed,"[""recuSnbtiyiw1dGby"",""recJz8yt01j49RSHr"",""rec5BdDEQYlvMjLLa"",""recTpUSLyilzSM2al"",""recf9jzuiq6eQ6Erq""]",,2026-05-14T21:12:10.000Z,2026-08-14,,fruiting_block,,Red Reishi,,,,,,,,,,,,,,,,,,,,,,Bulk_Created,,,,2026-05-14T21:12:09.694Z,,,,,,,
recJXWWwar8l9BvYp,LOT-260616-BvYp,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recJz8yt01j49RSHr,LOT-260505-RSHr,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
recKhtUUrmcFvQQ80,LOT-260616-QQ80,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recKrk9ibdKjBoUsI,LOT-260616-oUsI,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recL1ZrJ20r94Q6Jr,LOT-260525-Q6Jr,Coco Verm Gypsum,1,5,Consumed,,operator1.email.address@mybusiness.com,2026-05-25T18:58:07.000Z,2026-08-25,,substrate,Pasteurize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-25T18:58:06.442Z,,,,,,
recLZDYpCTXGEHtdu,LOT-260513-Htdu,Cordyceps A,1,500,Fruiting,,,2026-05-13T16:47:37.000Z,2026-08-13,,cordyceps_substrate,Sterilize,Cordyceps,Fungaia,,,,,,,,,Fungaia,,,515,,,515,,,,,,Cordyceps_Substrate_Inoculated,,2026-05-13T17:14:12.272Z,,,2026-05-13T16:47:37.020Z,,,,,,
recLfz2MTnUpwMa6m,LOT-260422-Ma6m,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
recLxbYolvrzsPB1s,LOT-260519-PB1s,Masters Mix 75/25,1,7.5,Sterilized,,operator1.email.address@mybusiness.com,2026-05-19T18:36:16.000Z,2026-08-19,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-19T18:36:15.927Z,,,,,,
recMAGHvFxICI7LDh,LOT-260514-7LDh,Small Masters Mix 75/25,1,3.125,Colonizing,"[""recuSnbtiyiw1dGby"",""recJz8yt01j49RSHr"",""rec5BdDEQYlvMjLLa"",""recTpUSLyilzSM2al"",""recf9jzuiq6eQ6Erq""]",,2026-05-14T21:12:10.000Z,2026-08-14,,fruiting_block,,Red Reishi,,,,,,,,,,,,,,,,,,,,,,Bulk_Created,,,,2026-05-14T21:12:09.694Z,,,,,,,
recMJl07J6vDuBjY8,LOT-260505-BjY8,Masters Mix 75/25,1,7.5,Sterilized,,,2026-05-05T22:23:50.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:23:00.000Z,,,,,,
recMWmMAomB9DcFaY,LOT-260505-cFaY,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
recMk624t2UdwEOLI,LOT-260616-EOLI,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recNDYavtetW88UqV,LOT-260505-8UqV,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
recNiOOqOrHbHmzWm,LOT-260424-mzWm,Wild Bird Seed,1,2,Fridge,,operator1.email.address@mybusiness.com,2026-04-24T20:23:04.000Z,2026-08-12,,grain,Sterilize,Pink Oyster,Fungaia,,,,,,,,,Fungaia,,,3,,,3,,,,,,Grain_Inoculated,,2026-05-12T19:39:03.688Z,,,2026-04-24T07:30:00.000Z,,,,,,
recNy9QSQ9gujHYUd,LOT-260505-HYUd,Masters Mix 75/25,1,7.5,Sterilized,,,2026-05-05T22:23:50.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:23:00.000Z,,,,,,
recOttOwiJVMomq3g,LOT-260505-mq3g,Masters Mix 75/25,1,2.5,Consumed,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
recP28SZes0LccG8h,LOT-260422-cG8h,Coco Verm Gypsum,1,5,Consumed,,,2026-04-22T12:29:05.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:29:05.101Z,,,,,,
recPfFbkyrTFAeto6,LOT-260422-eto6,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
recQCw2tD2D8dThGJ,LOT-260523-ThGJ,Wild Bird Seed,1,2,Sterilized,,operator1.email.address@mybusiness.com,2026-05-23T19:07:28.000Z,2026-08-23,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23T19:07:25.243Z,,,,,,
recQL1ba8bpOBG5hp,LOT-260616-G5hp,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recQOaFteyKXFffBQ,LOT-260422-ffBQ,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
recQPzYNkzfXRQeUk,LOT-260616-QeUk,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recQrKnDoXaXzauZP,LOT-260616-auZP,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recRb0vUXAp6XnoaL,LOT-260616-noaL,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recRi7HbiA11M4UOG,LOT-260516-4UOG,Small Masters Mix 75/25,1,3,Consumed,"[""recmoNKT8WMOQEWKD"",""recFA07XISHru06Wa"",""recCFIoJHnO8pa5cp"",""recMWmMAomB9DcFaY"",""recYWNToc4VtBYeKF""]",,2026-05-16T23:42:38.000Z,2026-08-16,,fruiting_block,,Pearl Oyster,Fungaia,,,,,,,,,,,,,,,,,,,,,Bulk_Created,,,,2026-05-16T23:42:37.622Z,,,,,,,
recRyRmIGEwRoGpFf,LOT-260505-GpFf,Masters Mix 75/25,1,2.5,Sterilized,,,2026-05-05T22:22:15.000Z,2026-08-05,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05T22:22:14.543Z,,,,,,
recSIXV7577HSR0HF,LOT-260424-R0HF,Wild Bird Seed,1,2,Fridge,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-08-12,,grain,Sterilize,Black Pearl King Oyster,MYYCO,,,,,,,,,MYYCO,,,3,,,3,,,,,,Grain_Inoculated,,2026-05-12T19:38:04.259Z,,,2026-04-24T07:30:00.000Z,,,,,,
recSLVWNUGT7WBO84,LOT-260616-BO84,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
recSxIEFkkN75oHht,LOT-260422-oHht,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
recSyt4fdN3skhaZi,LOT-260422-haZi,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
recT9NdvFU8PiJ9in,LOT-260525-J9in,Coco Verm Gypsum,1,5,Consumed,,operator1.email.address@mybusiness.com,2026-05-25T18:58:07.000Z,2026-08-25,,substrate,Pasteurize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-25T18:58:06.442Z,,,,,,
recTCNIK9Yo3hovk4,LOT-260616-ovk4,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
