airtable_id,lot_recipe_component_id,component_role,component_weight_lb,component_percent,sort_order,notes
recFiBx7uyPoupde1,LRC-260624-pde1,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
recGbSYA2UVnMXOlw,LRC-260716-XOlw,substrate,2.5,,1,Created from sterilization run planned_recipe
recGc6FbyaS4hVUqY,LRC-260716-VUqY,substrate,2.5,,1,Created from sterilization run planned_recipe
recGjmgL4KhCs1Dse,LRC-260713-1Dse,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recHjt8WOvBPD2HNq,LRC-260716-2HNq,substrate,2.5,,1,Created from sterilization run planned_recipe
recHyawbyToSpmIBR,LRC-260706-mIBR,grain,1,,1,Derived from Spawn to Bulk grain input
recI5BGDMJ0dU2WFe,LRC-260716-2WFe,substrate,2.5,,1,Created from sterilization run planned_recipe
recIRHskhnOpNH1GN,LRC-260706-H1GN,substrate,7.5,,2,Derived from Spawn to Bulk substrate input
recJbEHsrv31Tu69A,LRC-260716-u69A,substrate,2.5,,1,Created from sterilization run planned_recipe
recK9BOjwUdxRg531,LRC-260716-g531,substrate,2.5,,1,Created from sterilization run planned_recipe
recKI60Fu2FTqVCC7,LRC-260624-VCC7,grain,1.5,,1,Created from sterilization run planned_recipe
recKkMpIfHoMjXgXW,LRC-260629-XgXW,grain,1.5,0,1,Created from multi_recipe item component plan on sterilization run RUN-260629-lLVT
recL7vHX64Ma7rbrO,LRC-260624-rbrO,grain,1.5,,1,Created from sterilization run planned_recipe
recLQBUiQ5a08n1QU,LRC-260713-n1QU,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recLl3O5y1yea38Jy,LRC-260716-38Jy,substrate,7.5,,1,Created from sterilization run planned_recipe
recMBz5985JZcGmsz,LRC-260716-Gmsz,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recMH4MvsU4daxzJ9,LRC-260629-xzJ9,substrate,5,,1,Created from sterilization run planned_recipe
recMslsY8u80MhUeq,LRC-260716-hUeq,substrate,7.5,,1,Created from sterilization run planned_recipe
recPeZkj8m0SnFJvp,LRC-260716-FJvp,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recPkbnMUVIappS9O,LRC-260629-pS9O,substrate,5,,1,Created from sterilization run planned_recipe
recQ1KqB7vaXTHaoz,LRC-260713-Haoz,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
recQONtZmx0voRzID,LRC-260624-RzID,grain,1.5,,1,Created from sterilization run planned_recipe
recRqITzVqtgaJEgy,LRC-260716-JEgy,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recRrCwAdQrCRDtel,LRC-260716-Dtel,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recS5wyqwYPnHnb0c,LRC-260624-nb0c,grain,1.5,,1,Created from sterilization run planned_recipe
recSnVTR4tCDeZOQ6,LRC-260713-ZOQ6,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recUxuGQ9Px3R8knd,LRC-260624-8knd,grain,2,0,1,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
recVRyNk74MVVN9Mx,LRC-260716-N9Mx,substrate,2.5,,1,Created from sterilization run planned_recipe
recWLoMvtSuCfiLom,LRC-260624-iLom,grain,1.5,,1,Created from sterilization run planned_recipe
recWtsVmcCr7RJO9R,LRC-260629-JO9R,substrate,1.5,0,2,Created from multi_recipe item component plan on sterilization run RUN-260629-lLVT
recXRrTDj3wZxaQmy,LRC-260716-aQmy,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recXZGiKSqMsB03cE,LRC-260706-03cE,grain,1,,1,Derived from Spawn to Bulk grain input
recXpuO573TIWbxpI,LRC-260624-bxpI,grain,1.5,,1,Created from sterilization run planned_recipe
recYB0Yw9WwOToAvi,LRC-260706-oAvi,substrate,7.5,,2,Derived from Spawn to Bulk substrate input
recYYj4WGPC56HGLB,LRC-260624-HGLB,grain,1.5,,1,Created from sterilization run planned_recipe
recYZZuOTQ2Lhiicr,LRC-260624-iicr,grain,1.5,,1,Created from sterilization run planned_recipe
recYgt09eyVfB75WI,LRC-260716-75WI,substrate,7.5,,1,Created from sterilization run planned_recipe
recZbKdDZv0dHEiTW,LRC-260706-EiTW,grain,1,,1,Derived from Spawn to Bulk grain input
recaNSaPcrJKUj1Ie,LRC-260624-j1Ie,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
recactuwTOcA1R3Gm,LRC-260716-R3Gm,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
recaxtauFr5popUfG,LRC-260629-pUfG,substrate,5,,1,Created from sterilization run planned_recipe
recb95gsqdRNmobFo,LRC-260624-obFo,grain,1.5,,1,Created from sterilization run planned_recipe
recbIrx3eayveTwVP,LRC-260716-TwVP,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recbhJg7nrKiFM3fI,LRC-260716-M3fI,substrate,2.5,,1,Created from sterilization run planned_recipe
recc7QzvwglQezB4Q,LRC-260629-zB4Q,substrate,5,,1,Created from sterilization run planned_recipe
reccO5sMq8MBvoYlb,LRC-260624-oYlb,grain,1.5,,1,Created from sterilization run planned_recipe
reccxnFAhDXosQ3a2,LRC-260629-Q3a2,substrate,1.5,0,2,Created from multi_recipe item component plan on sterilization run RUN-260629-lLVT
receI3staomyMcBBf,LRC-260624-cBBf,grain,1.5,,1,Created from sterilization run planned_recipe
receapP3Onc7S0VlJ,LRC-260716-0VlJ,substrate,2.5,,1,Created from sterilization run planned_recipe
recegvPOYLXcPgdND,LRC-260624-gdND,grain,1.5,,1,Created from sterilization run planned_recipe
receyg7EysjvIbO3D,LRC-260624-bO3D,grain,1.5,,1,Created from sterilization run planned_recipe
recf5PEvrYoxVTjg7,LRC-260624-Tjg7,grain,1.5,,1,Created from sterilization run planned_recipe
recf6eDgYzB6eo9lJ,LRC-260629-o9lJ,substrate,5,,1,Created from sterilization run planned_recipe
rechtb5FZNhcVNPwJ,LRC-260716-NPwJ,substrate,2.5,,1,Created from sterilization run planned_recipe
reciRINysmsgQmbkE,LRC-260716-mbkE,substrate,2.5,,1,Created from sterilization run planned_recipe
reciiernNCslW9dmX,LRC-260624-9dmX,grain,1.5,,1,Created from sterilization run planned_recipe
recjgzIJX5osIN6fG,LRC-260624-N6fG,grain,1.5,,1,Created from sterilization run planned_recipe
recjteHQCdZSGYbAq,LRC-260716-YbAq,substrate,2.5,,1,Created from sterilization run planned_recipe
recjz3tKwIbdzVONq,LRC-260713-VONq,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
recmk5KG4rf95J06x,LRC-260624-J06x,grain,1.5,,1,Created from sterilization run planned_recipe
recmqqvdFUXGIk5SZ,LRC-260624-k5SZ,grain,1.5,,1,Created from sterilization run planned_recipe
recnQE462Iq2qPQj6,LRC-260624-PQj6,grain,2,0,1,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
reco6geq31F9aOwDh,LRC-260716-OwDh,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recp47d7FkgQTs9rl,LRC-260716-s9rl,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
recph0CCxLZ7aBEMl,LRC-260716-BEMl,substrate,2.5,,1,Created from sterilization run planned_recipe
recplm2qKISqPAMR0,LRC-260629-AMR0,grain,2,0,1,Created from multi_recipe item component plan on sterilization run RUN-260629-HSCv
recqHksLFZD4cAbd7,LRC-260624-Abd7,grain,1.5,,1,Created from sterilization run planned_recipe
recqiijQw7N4i6kQc,LRC-260629-6kQc,grain,2,0,1,Created from multi_recipe item component plan on sterilization run RUN-260629-HSCv
recqwiIe4INOhrQDK,LRC-260706-rQDK,grain,1,,1,Derived from Spawn to Bulk grain input
recr5014Z3WmF6Hg5,LRC-260706-6Hg5,grain,1,,1,Derived from Spawn to Bulk grain input
recrEYPt9kHQtwgTc,LRC-260716-wgTc,substrate,7.5,,1,Created from sterilization run planned_recipe
recrwhEkTPKPCxB4b,LRC-260713-xB4b,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
recsy6wNXb3kjjCtK,LRC-260706-jCtK,substrate,7.5,,2,Derived from Spawn to Bulk substrate input
rect8lPu6kuaPVuz3,LRC-260716-Vuz3,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
rectYTZdVKM8UQhrB,LRC-260716-QhrB,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
rectvGnAU9pu7Fe4g,LRC-260706-Fe4g,substrate,7.5,,2,Derived from Spawn to Bulk substrate input
recuJIRsfXerQUb9r,LRC-260716-Ub9r,substrate,2.5,,1,Created from sterilization run planned_recipe
recun9qWpRQ3OMIVk,LRC-260624-MIVk,grain,1.5,,1,Created from sterilization run planned_recipe
recveA7zA99i2Ajq3,LRC-260624-Ajq3,grain,1.5,,1,Created from sterilization run planned_recipe
recwxEupP7GZWECMN,LRC-260716-ECMN,substrate,2.5,,1,Created from sterilization run planned_recipe
recxGcNKViPWbK5Gr,LRC-260716-K5Gr,substrate,2.5,,1,Created from sterilization run planned_recipe
recxQ7Bz8fWgRIRFB,LRC-260624-IRFB,grain,1.5,,1,Created from sterilization run planned_recipe
recxTpogyMoFLMZS4,LRC-260706-MZS4,substrate,7.5,,2,Derived from Spawn to Bulk substrate input
recxURp1V8ChHb3E4,LRC-260716-b3E4,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
recxpCSGD0X0McmEe,LRC-260716-cmEe,substrate,7.5,,1,Created from sterilization run planned_recipe
recyG9CpQckiio0o4,LRC-260624-o0o4,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
recyakjsRA6x631tz,LRC-260716-31tz,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
recynVYKsZ55Hv7gU,LRC-260629-v7gU,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260629-HSCv
recz615J5i3isKNPG,LRC-260624-KNPG,grain,1.5,,1,Created from sterilization run planned_recipe
reczCeLA24Utwj68o,LRC-260716-j68o,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
reczaPv3SlUKOp0KJ,LRC-260629-p0KJ,grain,1.5,0,1,Created from multi_recipe item component plan on sterilization run RUN-260629-lLVT
